ticker,title,date,forward_return,ground_truth,raw_sentiment,prediction,reasoning,latency_s,correct,error
DXCM,Here's Why DexCom (DXCM) is a Great Momentum Stock to Buy,2020-01-17,0.02106,Bullish,bullish,Bullish,Article highlights strong momentum and positive outlook for DexCom stock.,3.43,True,
BKR,Validea David Dreman Strategy Daily Upgrade Report - 10/17/2020,2020-10-17,0.07094,Bullish,bullish,Bullish,Contrarian strategy upgrade based on improving fundamentals indicates strong interest.,3.33,True,
PEP,"Top Stock Reports for Eli Lilly, PepsiCo & IBM",2022-09-13,-0.00914,Neutral,neutral,Neutral,Article is primarily about Eli Lilly and PepsiCo's stock performance; IBM mentioned only as a context.,3.468,True,
FTNT,"Zscaler Stock Might Be in Trouble, and Competition Is the Culprit",2019-12-10,0.00821,Neutral,bearish,Bearish,Revenue slowdown and competition are cited as threats to future performance.,3.422,False,
PANW,Palo Alto Networks Spends Another $800 Million to Keep Pace With a Fast-Changing Cybersecurity Industry,2020-11-19,0.02963,Bullish,neutral,Neutral,Article discusses Palo Alto Networks' spending on acquisitions to keep up with industry changes but does not provide a clear financial impact signal.,3.378,False,
ADI,"Notable Tuesday Option Activity: TXN, ADI, DISH",2020-05-19,0.04401,Bullish,neutral,Neutral,Article discusses options activity for multiple companies without a clear financial impact on any single ticker.,3.394,False,
SBUX,iShares Core S&P U.S. Growth ETF Experiences Big Outflow,2020-05-29,-0.00269,Neutral,bearish,Bearish,Significant weekly share decrease indicates investor concern.,3.467,False,
PAYX,Here's Why Investors Should Retain Paychex (PAYX) Stock,2023-03-02,0.00919,Neutral,bullish,Bullish,Strong earnings growth expectations for the next two years indicate a positive financial outlook.,3.329,False,
EA,World Cup Mania Is Here: 2 Stocks That Are Poised to Gain,2022-11-24,-0.01329,Bearish,bullish,Bullish,World Cup's massive audience expected could boost related sectors like video games.,3.356,False,
AEP,Down Between 9% and 42%: 3 Top Dividend Stocks That Are Too Cheap to Ignore,2022-07-19,-0.00855,Neutral,neutral,Neutral,Article discusses general market volatility without a direct financial impact on AEP.,3.495,True,
EXC,"SPLV, EXC, AEP, AWK: Large Outflows Detected at ETF",2019-05-14,-0.00123,Neutral,bearish,Bearish,Large outflow detected at SPLV ETF indicates investor concern.,3.309,False,
PANW,Micron (MU) Begins New Fab Construction to Expand US Chip Output,2023-10-06,0.0409,Bullish,bullish,Bullish,Significant investment and job creation indicate strong growth prospects for PanWare.,3.443,True,
ADBE,2 Underrated Growth Stocks You Can Buy Now for a Bargain,2022-05-26,0.01929,Bullish,bullish,Bullish,Strong growth potential highlighted by pandemic-driven digital transformation and recent acquisitions.,3.436,True,
DDOG,Best Stocks to Buy Now: Is CrowdStrike Stock a Buy After Earnings? CRWD Stock Analysis,2023-08-30,0.03791,Bullish,bullish,Bullish,GAAP profitability achievement indicates strong financial performance.,3.284,True,
CPRT,Here's Why Copart (CPRT) is a Solid Investment Choice Now,2023-11-20,0.00079,Neutral,bullish,Bullish,Strong market leadership position with expected revenue increase due to salvage auction volumes and strategic acquisitions.,3.451,False,
CSX,What Investors Should Know About the Largest Railroad Merger Ever,2021-03-31,0.0223,Bullish,neutral,Neutral,The article discusses significant events in logistics and infrastructure but does not provide direct financial impact on CSX stock.,3.597,False,
REGN,6 Underperforming Stocks in Gurus' Portfolios,2019-06-05,0.0224,Bullish,bearish,Bearish,Article highlights underperformance of stocks including Regn.,3.382,False,
CPRT,Why This 1 Growth Stock Could Be a Great Addition to Your Portfolio,2023-05-30,-0.00914,Neutral,neutral,Neutral,Article discusses Zacks Premium service without direct financial impact on CPRT.,3.291,True,
FANG,You Won't Want to Miss What These CEOs Said This Quarter,2021-08-14,-0.03763,Bearish,bearish,Bearish,Significant cost overruns and project delays at a major nuclear power construction site indicate financial challenges.,3.656,True,
CSX,Shares of several railroad companies are trading higher as equities gain for the session. Economic optimism amid strong earnings from some US retailers and the reopening of some US states is a potential positive for transportation stocks,2020-05-20,0.06401,Bullish,bullish,Bullish,Economic optimism with gains in railroad shares indicates favorable market conditions.,3.228,True,
GILD,Will Its HIV Lineup Save Gilead Sciences?,2019-11-11,-0.02027,Bearish,neutral,Neutral,Article discusses mixed performance with flat revenues but growing HIV sales; no strong financial signal.,3.408,False,
QCOM,Validea Guru Fundamental Report for QCOM - 3/4/2023,2023-03-04,-0.00988,Neutral,bullish,Bullish,High rating using Peter Lynch’s P/E/Growth Investor model indicates strong interest and confidence in QCOM's fundamentals.,3.588,False,
ADI,Shares of several semiconductor companies are trading lower after President Trump announced the U.S. is not doing any business with Huawei. Huawei is an important customer for many semiconductor companies.,2019-08-09,0.02133,Bullish,bearish,Bearish,Announcement impacts major customers like Huawei negatively affecting several semiconductors.,3.282,False,
PAYX,Paychex (PAYX) Up 3.5% Since Last Earnings Report: Can It Continue?,2020-01-17,0.01609,Bullish,bullish,Bullish,Moderate stock increase since earnings report suggests continued positive performance.,3.23,True,
MU,NVIDIA vs. Micron Technology: Which Is the Better Coronavirus Stock?,2020-04-25,0.10049,Bullish,neutral,Neutral,The article compares NVIDIA's performance with Micron Technology but does not provide a clear financial signal favoring one over the other.,3.68,False,
ALGN,"Wednesday Sector Laggards: Utilities, Healthcare",2020-12-23,-0.00789,Neutral,bearish,Bearish,Utilities and Healthcare sector lagging performance indicates negative sentiment.,3.455,False,
PANW,Palo Alto -2.3% on weak Mizuho checks,2019-05-15,0.02671,Bullish,bearish,Bearish,Weak credit check from a major bank negatively impacts stock performance.,3.421,False,
SNPS,S&P 500 Set to Record Highest Return Since 1997: 5 Picks,2019-12-30,0.0271,Bullish,bullish,Bullish,Record-setting return potential for the major index signals strong market performance.,3.285,True,
ADI,"Top Analyst Reports for Bank of America, Novo Nordisk, & Novartis",2022-05-24,0.01328,Bullish,neutral,Neutral,Article is primarily about analyst reports and does not contain a clear financial impact signal for any specific ticker.,3.521,False,
QCOM,Why Globalstar Shares Fell 23.7% in March,2021-04-07,0.00818,Neutral,bearish,Bearish,Significant decline due to waning market confidence despite positive developments.,3.426,False,
MNST,A Look At The Intrinsic Value Of Monster Beverage Corporation (NASDAQ:MNST),2021-12-29,0.00261,Neutral,neutral,Neutral,Article discusses valuation methods without direct financial impact on MNST.,3.564,True,
NXPI,Goldman Sachs Shares Semiconductor Stock Picks For A Challenging 2019,2019-01-08,0.04696,Bullish,bullish,Bullish,Goldman Sachs' positive outlook on semiconductor stocks signals investor confidence despite market challenges.,3.298,True,
ADP,Here's Why You Should Retain ADP Stock in Your Portfolio,2023-11-21,-0.00238,Neutral,bullish,Bullish,Strong revenue growth rate compared to industry averages indicates positive financial performance.,3.44,False,
AMAT,"Noteworthy ETF Inflows: SOXX, QCOM, INTC, AMAT",2021-06-02,0.00604,Neutral,bullish,Bullish,Noteworthy ETF Inflows indicate strong investor interest and potential growth in the sector.,3.593,False,
EBAY,Lofty Valuations and Inflation: Why eBay Might Be My Favorite Stock Right Now,2022-03-26,0.00987,Neutral,bullish,Bullish,Article highlights strong net income history and undervalued P/E ratio for a good investment opportunity.,3.649,False,
BIIB,"FOCUS-Researchers return to Alzheimer's vaccines, buoyed by recent drug success",2023-11-20,0.00495,Neutral,bullish,Bullish,Breakthrough treatments for Alzheimer's indicate renewed interest in vaccines as a cheaper alternative.,3.477,False,
COST,2 Stocks That Could Be Easy Wealth Builders,2022-10-12,-0.02515,Bearish,bullish,Bullish,Strong earnings growth and stable business outlook for Coca-Cola indicate a positive financial impact.,3.265,False,
COST,"Notable Thursday Option Activity: COST, BBY, MCHP",2022-12-22,-0.00046,Neutral,neutral,Neutral,Article discusses option trading activity without direct financial impact on Costco Wholesale Corp.,3.353,True,
AAPL,Warren Buffett's Buying Spree Winding Down: Good News for Investors?,2022-08-18,-0.03778,Bearish,neutral,Neutral,Article discusses Warren Buffett’s investment activities but lacks a clear financial impact on Apple Inc.,3.537,False,
AMAT,3 5G Stocks You Need on Your Shortlist Right Now,2020-03-30,-0.08457,Bearish,bullish,Bullish,Positive outlook on semiconductor stocks due to expected rise in chip sales and potential for significant growth post-coronavirus.,3.722,False,
CMCSA,Theme Park Stocks Could Be Big Winners in 2022,2022-02-12,0.01456,Bullish,bullish,Bullish,Strong financial performance from Comcast's theme park segment indicates positive growth prospects.,3.495,True,
ROST,"Costco Stays Ahead of Industry, Up More Than 20% in a Year",2019-03-20,-0.02164,Bearish,bullish,Bullish,Costco's significant year-over-year surge outpacing industry growth indicates strong financial performance.,3.643,False,
ASML,What's Good News for ASML May Be Bad News for Texas Instruments,2022-07-25,0.01338,Bullish,neutral,Neutral,Article discusses ASML's DUV machines but does not provide direct financial impact on Texas Instruments.,3.567,False,
WBA,"Walgreens sells $1.85 bln of AmerisourceBergen shares, further cutting stake",2023-08-03,-0.01419,Bearish,neutral,Neutral,Article discusses share sale but no direct financial impact on Walgreens.,3.542,False,
ZS,"Noteworthy Friday Option Activity: ZS, IONQ, SOFI",2023-03-31,-0.0541,Bearish,neutral,Neutral,Article discusses option trading volume but no direct financial impact on ZS.,3.369,False,
AAPL,3 High-Growth Stocks to Invest in Now,2023-03-18,0.00273,Neutral,neutral,Neutral,Article discusses high-growth stocks and future market outlook but lacks direct financial impact on AAPL.,3.443,True,
CPRT,"Group 1 Automotive, Inc. (GPI) Ex-Dividend Date Scheduled for February 28, 2019",2019-02-27,-0.00137,Neutral,neutral,Neutral,Article is primarily about dividend announcement with no direct financial impact.,3.439,True,
ENPH,"Why Plug Power, Enphase Energy, and Bloom Energy Stocks Dropped Today",2021-03-05,0.03588,Bullish,bearish,Bearish,Significant drop due to correction of excessive valuations and lack of profitability.,3.583,False,
CDNS,Should iShares Russell Mid-Cap Growth ETF (IWP) Be on Your Investing Radar?,2023-06-06,-0.00306,Neutral,neutral,Neutral,The article provides an overview and analysis but does not contain direct financial impact information.,3.241,True,
KHC,ANALYSIS-To raise prices or not? Consumer goods makers weigh bets on buyer strength,2023-02-20,-0.00301,Neutral,neutral,Neutral,Article discusses consumer goods makers weighing prices but lacks a clear financial impact signal.,3.255,True,
ADSK,5 Metaverse Stocks To Watch Right Now￼,2022-02-13,0.03015,Bullish,neutral,Neutral,Article discusses potential and hype around Metaverse stocks without providing direct financial impact or clear directional signal.,3.494,False,
AMGN,"Q4 Earnings Season Update and Analyst Reports for Broadcom, UPS & Amgen",2022-12-20,0.00193,Neutral,neutral,Neutral,<the article is primarily about analyst reports and updates without a clear financial impact or directional signal for Amgen stock>,3.459,True,
ENPH,September 23rd Options Now Available For Enphase Energy,2022-08-04,-0.02731,Bearish,neutral,Neutral,Article discusses new options availability for Enphase Energy without direct financial impact.,3.398,False,
CSX,Shares of several industrial companies are trading higher following strong US jobs numbers and continued optimism surrounding the reopening of the US economy. These have lead to hopes of an economic rebound and an uptick in production/shipping activity.,2020-06-05,-0.01399,Bearish,bullish,Bullish,Strong job growth signals potential for increased industrial demand.,3.471,False,
CSGP,"What Is CoStar Group, Inc.'s (NASDAQ:CSGP) Share Price Doing?",2021-06-28,-0.02473,Bearish,neutral,Neutral,The content discusses share price performance and future expectations without providing strong bullish or bearish signals.,3.322,False,
JD,3 Ways JD.com Shifts Focus To Profitability Instead Of Revenue Growth,2019-04-11,-0.01788,Bearish,bullish,Bullish,Shift towards profitability indicates a strategic move to strengthen financial health.,3.349,False,
PANW,Guru Fundamental Report for PANW,2023-10-29,0.02645,Bullish,neutral,Neutral,Article is primarily about a fundamental analysis report for PANW without direct financial impact.,3.303,False,
PDD,"Nasdaq 100 Movers: NTES, MRNA",2021-07-23,-0.18272,Bearish,neutral,Neutral,Article discusses performance but no direct financial impact on PDD.,3.304,False,
TMUS,5 Cheap Stocks to Buy Now That the Fed Cut Rates,2019-08-07,0.0136,Bullish,neutral,Neutral,Article discusses potential benefits from Fed rate cuts but lacks direct financial impact on TMUS.,3.303,False,
GILD,Eli Lilly Joins the Hunt for a Coronavirus Treatment,2020-03-13,0.05329,Bullish,bullish,Bullish,Eli Lilly's entry into COVID-19 treatment development signals potential for significant financial impact.,3.439,True,
ENPH,B of A Securities Maintains Enphase Energy (ENPH) Underperform Recommendation,2023-07-12,-0.02659,Bearish,bearish,Bearish,Underperform recommendation and decrease in institutional ownership indicate negative sentiment.,3.509,True,
ADSK,Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.,2020-04-21,0.03253,Bullish,bearish,Bearish,Overall tech sector decline due to falling stock markets linked with negative impact from declining oil prices.,3.154,False,
PDD,September 8th Options Now Available For PDD Holdings,2023-07-27,0.06258,Bullish,neutral,Neutral,Article discusses new options trading for PDD Holdings without providing direct financial impact or strong directional signal.,3.345,False,
BKNG,"Notable Wednesday Option Activity: CMG, BKNG, COF",2020-06-10,-0.06311,Bearish,neutral,Neutral,Article discusses option activity among S&P components without direct financial impact on any specific ticker.,3.354,False,
PANW,Palo Alto Networks (PANW) Q2 2023 Earnings Call Transcript,2023-02-21,0.13092,Bullish,neutral,Neutral,The article is primarily about an earnings call transcript with no direct financial impact.,3.346,False,
MSFT,"Microsoft Is Making Massive Investments in AI and ChatGPT, and Shares Could Be Really Cheap for Long-Term Buyers",2023-02-01,0.02216,Bullish,neutral,Neutral,Article discusses Microsoft's investments in AI but lacks a clear financial impact signal.,3.472,False,
FANG,"As oil-well backlog shrinks, U.S. shale may upset investors and drill more",2021-09-14,0.05801,Bullish,bearish,Bearish,Shrinking oil-well backlog may force increased drilling and disrupt investor expectations for stable returns.,3.436,False,
XEL,Xcel Energy Raises Quarterly Dividend From $0.405 To $0.43/Share,2020-02-19,0.00042,Neutral,bullish,Bullish,Increase in quarterly dividend indicates strong financial performance and positive investor sentiment.,3.274,False,
GILD,Is IQ Chaikin U.S. Large Cap ETF (CLRG) a Strong ETF Right Now?,2023-05-12,0.00192,Neutral,neutral,Neutral,The article provides an overview and explanation about IQ Chaikin U.S. Large Cap ETF (CLRG) but does not contain a direct financial impact or strong bullish/bearish signal.,3.888,True,
BIIB,"Biogen (BIIB) Beats on Q3 Earnings & Sales, Cuts EPS View",2023-11-08,-0.02978,Bearish,bullish,Bullish,Strong earnings beat with significant product approvals and revenue growth despite year-over-year decline.,3.48,False,
ZS,"CIBR, ZS, OKTA, NET: ETF Inflow Alert",2021-07-27,0.01717,Bullish,bullish,Bullish,Significant weekly increase of $152.6 million in outstanding shares indicates strong investor interest and confidence.,3.445,True,
CPRT,Copart Announces Capacity Expansion at Newburg Location,2019-03-05,0.00275,Neutral,bullish,Bullish,Capacity expansion indicates growth potential and increased operational capacity for the company.,3.493,False,
XEL,"V Wealth Management,LLC Buys PowerShares QQQ Trust Ser –, Amazon. ...",2020-05-12,-0.01004,Bearish,neutral,Neutral,Article mentions a partnership but lacks direct financial impact on the ticker.,3.243,False,
XEL,Xcel Energy Inc (XEL) Q3 2020 Earnings Call Transcript,2020-10-30,0.04212,Bullish,neutral,Neutral,The article is primarily an announcement of the Q3 2020 Earnings Call for Xcel Energy Inc (XEL) without direct financial implications.,3.799,False,
TXN,"The Best Stocks to Invest $50,000 in Right Now",2022-12-11,-0.00935,Neutral,neutral,Neutral,Article discusses investment strategies for different position sizes but does not provide direct information about the ticker TXN.,3.392,True,
ZM,Add Sprout Social to Your List of Stocks to Buy for the Next 10 Years,2020-05-15,-0.00658,Neutral,bullish,Bullish,Strong first-quarter numbers and potential for significant long-term uptrend indicate strong financial performance.,3.528,False,
MU,"PREVIEW-Samsung quarterly profit set to slump 25%, first decline in nearly three years",2022-10-05,-0.03121,Bearish,bearish,Bearish,Significant decline in quarterly profit due to economic downturn and reduced demand for electronic devices.,3.533,True,
AMAT,Guru Fundamental Report for AMAT - Peter Lynch,2023-03-18,-0.04176,Bearish,bullish,Bullish,High rating using P/E/Growth Investor model and strong interest in the stock indicate positive financial outlook.,3.683,False,
QCOM,3 Blue Chip Tech Stocks to Buy Now,2019-01-02,-0.01394,Bearish,bullish,Bullish,Article highlights strong earnings and revenue growth in tech stocks like Google.,3.433,False,
ZM,"After Hours Most Active for May 23, 2022 : NIO, T, AAPL, INFY, ZM, SABR, MCHI, MSFT, QQQ, WFC, PINS, CCL",2022-05-23,0.14564,Bullish,neutral,Neutral,Article mentions after hours trading activity without a clear financial impact on ZM.,7.68,False,
EA,"Got $1,000? Here Are 3 Video Game Stocks to Buy Right Now",2021-07-27,0.01022,Bullish,bullish,Bullish,Strong growth projections for video games industry with EA's strong franchises indicate a positive financial outlook.,3.456,True,
FAST,Fastenal: Making Dollars And Cents With Nuts And Bolts,2019-04-25,-0.00747,Neutral,bullish,Bullish,Positive tone about making money with tangible products indicates strong operational performance.,3.273,False,
PANW,"The Zacks Analyst Blog Highlights Micron Technology, Palo Alto Networks, CrowdStrike and Qualys",2022-07-06,0.01798,Bullish,neutral,Neutral,Article is primarily an announcement without direct impact on PanWare's stock.,3.286,False,
ZS,Top Stocks To Buy Right Now? 3 Cybersecurity Stocks To Know,2022-03-10,-0.09059,Bearish,bullish,Bullish,Strong earnings results and growth in recurring revenue indicate positive financial performance for cybersecurity stocks.,3.506,False,
CPRT,"Copart, Inc. (CPRT) Surpasses Q3 Earnings and Revenue Estimates",2022-05-18,0.05218,Bullish,bullish,Bullish,Surpassing earnings and revenue estimates indicates strong financial performance.,3.389,True,
FTNT,"Monday Sector Laggards: Technology & Communications, Energy",2020-07-13,-0.01373,Bearish,neutral,Neutral,Article provides an overview without strong bullish or bearish signals.,3.219,False,
CRWD,What Is a Direct Public Offering (DPO)?,2019-06-29,0.06392,Bullish,neutral,Neutral,Article explains DPO concept without direct financial impact on CRWD.,3.531,False,
AMD,Be Patient With AMD Stock,2019-10-02,0.02473,Bullish,bearish,Bearish,Article suggests potential turbulence and advises holding off due to semiconductor industry pressure.,3.476,False,
ADSK,"Noteworthy Thursday Option Activity: HAS, ADSK, ULTA",2020-07-09,-0.06583,Bearish,neutral,Neutral,Article discusses option activity for multiple companies without a clear financial impact on any single ticker.,3.3,False,
AEP,"Stock Market News for Dec 18, 2023",2023-12-15,-0.00122,Neutral,neutral,Neutral,The article discusses mixed market performance without indicating strong bullish or bearish trends.,3.416,True,
DDOG,"Noteworthy Thursday Option Activity: GEVO, DDOG, DLR",2021-09-09,-0.04024,Bearish,neutral,Neutral,Article discusses option trading volumes for multiple companies without providing direct financial impact on any specific ticker.,3.555,False,
MU,Is Micron Stock a Buy Ahead of FQ2 Earnings? This Is What You Need to Know,2021-03-30,0.06783,Bullish,bullish,Bullish,Revised guidance and strong market outlook indicate positive financial performance.,3.557,True,
AMD,Where Will Nvidia Stock Be In 1 Year?,2023-01-19,0.13026,Bullish,neutral,Neutral,Article discusses Nvidia's stock performance but lacks a clear directional financial signal.,3.56,False,
DLTR,Wall St Week Ahead-Energy price spike adds market risk as earnings arrive,2021-10-10,-0.01097,Bearish,bearish,Bearish,Energy price spikes increase risk of inflation impacting profit margins negatively.,3.236,True,
WDAY,Workday (WDAY) Gains But Lags Market: What You Should Know,2019-07-26,-0.04595,Bearish,neutral,Neutral,Relative gains with market lagging indicates mixed performance without a strong financial signal.,3.26,False,
TEAM,Brookfield Aussie coal bid hits toxic smokescreens,2022-02-22,0.01995,Bullish,bearish,Bearish,Renewable investment plans face opposition and potential regulatory hurdles.,3.371,False,
ALGN,Align Technology Reports First-Quarter Earnings After Up Day,2020-04-29,-0.07852,Bearish,neutral,Neutral,The article discusses a mixed performance with some positive aspects but also highlights challenges due to COVID-19; no strong bullish or bearish signal.,3.521,False,
ADBE,3 Top E-Commerce Stocks to Buy Right Now,2019-07-27,-0.02721,Bearish,bullish,Bullish,Adobe Systems' strong performance in the creative software sector combined with strategic acquisitions like Magento indicates solid growth potential.,3.53,False,
ALGN,Here's Why You Should Retain Fresenius Medical (FMS) for Now,2023-09-15,-0.04243,Bearish,bullish,Bullish,Strong earnings beat and positive growth outlook indicate solid financial performance.,3.58,False,
FTNT,Fortinet (FTNT) to Post Q2 Earnings: What's in the Cards?,2022-07-28,0.01111,Bullish,bullish,Bullish,Strong revenue growth and consistent earnings surprise indicate positive financial outlook.,3.541,True,
AMD,The AI Chip Market Is Heating Up -- 3 Important Developments You May Have Missed,2019-12-08,0.01387,Bullish,bullish,Bullish,Intel's aggressive moves into AI with significant investments and potential acquisition indicate strong future growth prospects.,3.625,True,
TMUS,Validea James P. O'Shaughnessy Strategy Daily Upgrade Report - 12/4/2019,2019-12-04,-0.00766,Neutral,neutral,Neutral,Article discusses a financial model upgrade for Validea but does not provide direct impact on TMUS.,3.601,True,
WDAY,"Workday Inc (WDAY) Files –…-K for the Fiscal Year Ended on January '–, —…–9",2019-03-18,0.02773,Bullish,neutral,Neutral,Article mentions filing but lacks specific financial details.,3.364,False,
BKR,Oil falls as India's COVID-19 surge to weigh on fuel demand,2021-04-26,0.00546,Neutral,bearish,Bearish,Fears about reduced fuel demand due to COVID-19 surge in India weigh on oil prices.,3.466,False,
TMUS,"BUZZ-U.S. STOCKS ON THE MOVE-U.S. Retailers, T-Mobile, Aveo Pharmaceuticals",2020-06-16,0.03402,Bullish,bullish,Bullish,"Record surge in May retail sales and reduced COVID-19 death rates indicate a strong economic recovery, positively impacting T-Mobile.",3.669,True,
VRTX,11 Best Healthcare Stocks for the Rest of 2021,2021-07-13,0.00887,Neutral,neutral,Neutral,Article discusses potential opportunities and innovation in healthcare stocks but does not provide a clear financial signal for any specific stock.,3.39,True,
TMUS,Geopolitics Favor Sprint Stock Despite Antitrust Concerns,2019-08-20,0.00142,Neutral,neutral,Neutral,Article discusses potential benefits and regulatory hurdles but lacks clear financial impact on Sprint stock.,3.422,True,
PEP,Growth Efforts to Aid Diageo (DEO) Amid Inflationary Pressures,2023-08-30,-0.025,Bearish,bullish,Bullish,Solid business momentum with strong consumer demand boosts Diageo's performance.,3.322,False,
CRWD,Crowdstrike Holdings warning sparks selloff in cybersecurity stocks,2022-11-30,0.05397,Bullish,bearish,Bearish,Warning of reduced spending on cybersecurity due to economic slowdown impacts revenue forecasts negatively.,3.401,False,
AMD,3 Breakout Growth Stocks You Can Buy and Hold for the Next Decade,2023-02-20,0.03882,Bullish,bullish,Bullish,Article highlights AMD as a breakout growth stock with significant opportunities in AI-related semiconductor markets.,3.589,True,
MU,"ASML launches 12 bln euro buyback, upgrades 2025 forecast",2022-11-10,0.02505,Bullish,bullish,Bullish,ASML's share buyback program expansion to run through 2025 and upgraded revenue forecast indicate strong financial outlook.,3.691,True,
GILD,Peer-reviewed data shows Gilead's drug effective against COVID-19 -NIH,2020-05-22,0.02127,Bullish,bullish,Bullish,Peer-reviewed data showing Gilead's drug effectiveness against COVID-19 indicates strong financial potential.,3.471,True,
INTC,"Dow Jones Today: Not a Case of the Monday’s, but Much, Much Worse",2019-08-05,0.00161,Neutral,bearish,Bearish,Significant market decline with major losses for top-performing stocks indicates severe negative financial impact.,3.577,False,
NXPI,Tech Stocks To Watch Closely,2019-07-11,0.05355,Bullish,neutral,Neutral,Article mentions tech stocks to watch but provides no specific information on NXPI or its direct financial impact.,3.551,False,
MRVL,"Shares of several semiconductor companies are trading higher in sympathy with the overall market after the U.S. Trade Representative reported that some tariffs will be delayed to Dec 15 on some products including cell phones, monitors, and laptops.",2019-08-13,-0.04216,Bearish,neutral,Neutral,Article discusses general stock movements without a clear financial impact.,3.137,False,
MU,Micron: Set up for Further Growth,2021-01-21,-0.04388,Bearish,bullish,Bullish,Strong bullish sentiment due to Micron's competitive position with DRAM products benefiting from AI growth drivers.,3.61,False,
WBA,The 9 Worst Stocks to Buy Right Now,2020-03-06,-0.02673,Bearish,bearish,Bearish,Article highlights significant concerns about stock performance amidst COVID-19.,3.488,True,
AMD,"AMD: Expect More Market Share Gains in 2021, Says Analyst",2021-01-15,0.00612,Neutral,bullish,Bullish,Strong market share gains and impressive product announcements indicate positive financial outlook for AMD.,3.63,False,
COST,Why Almost No One Is Canceling Their Costco Membership,2020-06-01,-0.00535,Neutral,neutral,Neutral,Article discusses minor letdowns but highlights strong renewal rates without clear financial direction.,3.468,True,
CRWD,CrowdStrike Holdings (CRWD) Gains As Market Dips: What You Should Know,2022-08-05,-0.02296,Bearish,bullish,Bullish,Strong earnings growth and revenue increase indicate strong financial performance.,3.34,False,
INTC,Qualcomm Stock Hammered Amid Continued FTC-Related Woes,2019-06-12,-0.00281,Neutral,bearish,Bearish,FTC ruling significantly impacts Qualcomm's revenue model and stock performance.,3.337,False,
CTAS,Best Dividend-Paying Stocks for Dividend Growth Investors,2019-02-04,0.00625,Neutral,bullish,Bullish,Focus on dividend growth stocks indicates positive investor sentiment and potential financial benefits.,3.537,False,
DDOG,Datadog (DDOG) Dips More Than Broader Markets: What You Should Know,2022-12-30,-0.06177,Bearish,bearish,Bearish,Datadog's recent decline in share price lagging broader markets indicates negative sentiment.,3.347,True,
CPRT,Copart Enters Oversold Territory (CPRT),2022-09-13,0.00418,Neutral,bullish,Bullish,Legendary investor Warren Buffett's advice combined with an RSI reading below 30 suggests potential buying opportunities.,3.506,False,
DXCM,Here is Why Growth Investors Should Buy DexCom (DXCM) Now,2023-07-14,0.00444,Neutral,bullish,Bullish,Strong emphasis on exceptional surging profit levels indicating high potential.,3.271,False,
GILD,3 Top Large-Cap Stocks to Buy in February,2019-01-31,0.00057,Neutral,bullish,Bullish,Positive outlook on new drug launches indicating a brighter period for the company.,3.482,False,
XEL,Guru Fundamental Report for XEL - Martin Zweig,2023-06-08,-0.00889,Neutral,neutral,Neutral,The article is a fundamental analysis report with mixed results; no clear bullish or bearish financial impact.,3.441,True,
